,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
315,18R054,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
316,18R055,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
317,18R056,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
318,18R057,2.22,1142,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
319,18R058,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
320,18R059,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
321,18R060,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
322,18R062,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
323,18R063,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
324,18R064,2.22,1142,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
325,18R065,2.22,1142,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
326,18R066,2.22,1142,274,36,36,278,472,146,16,2957,8,124,4,107,62.0,68,2
327,18R067,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
328,18R068,2.22,1142,237,27,36,291,441,115,35,3037,10,119,2,113,57.0,89,3
329,18R069,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
330,18R070,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
331,18R071,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
332,18R072,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
333,18R073,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
334,18R074,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
335,18R075,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
336,18R076,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
337,18R077,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
338,18R078,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
339,18R079,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
340,18R080,2.22,1142,274,36,36,278,472,146,16,2957,8,124,4,107,62.0,68,2
341,18R081,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
342,18R082,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
343,18R083,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
344,18R084,2.02,1121,561,59,0,255,463,78,8,2554,7,127,3,113,94.0,102,5
345,18R085,2.02,1121,584,45,0,266,414,92,9,2423,3,121,5,141,138.0,113,7
346,18R086,2.02,1091,504,30,0,793,180,100,57,4627,11,112,3,101,144.0,79,8
347,18R087,2.02,1091,608,34,1,667,218,148,15,4098,23,140,2,139,136.0,74,12
348,18R088,2.22,1028,173,63,1,665,278,292,25,2663,17,152,2,98,56.0,95,3
349,18R089,2.22,1028,208,60,0,689,256,143,14,2887,7,121,3,96,52.0,81,2
350,18R090,2.02,1024,512,33,2,649,333,290,89,4270,18,141,3,123,154.0,150,8
351,18R091,2.02,1024,580,39,1,644,140,105,11,3963,13,112,2,74,95.0,56,5
352,18R092,2.02,1024,542,40,1,645,240,96,13,4109,15,110,2,123,81.0,101,5
353,18R093,2.02,961,520,42,0,646,314,311,62,4099,15,158,3,92,110.0,98,7
354,18R094,2.02,948,218,58,0,754,234,126,44,2787,15,136,1,83,45.0,96,2
355,18R095,2.02,948,500,66,0,682,423,234,25,3900,23,253,3,147,89.0,80,7
356,18R097,2.02,948,192,53,0,710,291,266,119,2853,7,142,2,87,41.0,127,1
357,18R098,2.02,948,144,54,0,690,395,263,70,2649,11,170,1,113,31.0,125,2
358,18R099,2.02,948,134,48,0,736,324,227,133,2747,13,146,2,96,45.0,99,2
359,18R100,2.02,948,547,42,0,657,198,86,4,3950,4,89,2,119,118.0,51,6
360,18R101,2.02,948,210,45,0,697,208,103,11,2838,12,122,1,98,50.0,83,2
361,18R102,2.02,905,194,115,0,749,603,122,12,3615,8,114,2,165,105.0,76,8
362,18R103,2.02,905,153,108,0,679,599,85,65,3703,2,98,2,188,59.0,127,1
363,18R104,2.02,905,155,110,0,766,618,134,18,3673,4,126,1,154,71.0,126,4
364,18R105,2.02,905,159,111,0,747,564,355,59,3679,16,175,2,146,69.0,107,3
365,18R107,2.02,899,228,45,0,657,234,165,9,2863,13,135,2,74,51.0,83,3
366,18R108,2.02,899,264,52,0,691,349,334,69,2746,20,153,1,138,88.0,84,5
367,18R109,2.02,899,188,53,0,724,272,230,113,3028,10,131,2,96,79.0,91,3
368,18R110,2.02,899,462,59,0,645,304,112,79,4134,10,111,3,146,81.0,75,6
369,18R111,3.6500001,949,308,43,30,2229,1768,116,34,11428,39,144,8,141,2486.0,14,342
370,18R112,3.6500001,949,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
371,18R113,3.6500001,949,376,54,33,2393,1593,117,87,11595,29,150,4,93,2504.0,10,414
372,18R114,3.6500001,949,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
373,18R115,3.6500001,949,421,50,28,2194,1736,88,64,11395,13,133,4,128,2386.0,16,320
374,18R116,3.6500001,949,421,50,28,2194,1736,88,64,11395,13,133,4,128,2386.0,16,320
375,18R117,3.6500001,949,347,67,32,2169,1694,131,23,11701,27,138,26,120,2570.0,6,371
376,18R118,3.45,943,308,43,30,2229,1768,116,34,11428,39,144,8,141,2486.0,14,342
377,18R119,3.9500003,918,368,46,33,2272,1618,162,18,11592,16,135,3,122,2581.0,10,385
378,18R120,3.25,912,365,73,32,2271,1710,152,68,11574,35,119,13,104,2929.0,18,432
379,18R121,3.25,912,351,52,28,2204,1663,135,88,11506,12,114,2,109,2495.0,12,395
380,18R122,3.75,902,386,58,28,2218,1687,168,28,11451,15,136,3,98,2468.0,6,330
381,18R123,3.75,902,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
382,18R124,3.9500003,890,308,36,32,2236,1800,356,43,11580,18,182,3,119,2541.0,12,346
383,18R125,3.9500003,890,349,55,29,2261,1660,112,15,11560,18,127,4,133,2481.0,10,390
384,18R126,3.55,887,308,43,30,2229,1768,116,34,11428,39,144,8,141,2486.0,14,342
385,18R127,2.6500001,877,386,58,28,2218,1687,168,28,11451,15,136,3,98,2468.0,6,330
386,18R128,2.6500001,877,340,53,29,2242,1658,106,54,11744,26,135,14,130,2607.0,5,361
387,18R129,3.25,815,308,36,32,2236,1800,356,43,11580,18,182,3,119,2541.0,12,346
388,18R130,2.55,719,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
389,18S001,4.4499998,1032,326,50,34,2268,1636,122,16,11529,16,138,4,154,2485.0,6,363
390,18S002,4.1500001,1002,398,39,27,2207,1634,94,14,11498,25,138,3,99,2409.0,10,387
391,18S003,4.1500001,974,311,55,31,2300,1614,112,27,11580,13,125,2,133,2479.0,10,385
392,18S004,3.6400001,962,316,46,0,672,317,239,67,2880,13,145,174,142,105.0,88,10
393,18S005,3.24,935,350,44,0,548,258,206,20,1940,9,117,2,133,88.0,223,5
394,18S006,3.24,935,315,46,0,518,185,199,11,2096,9,117,2,144,84.0,227,4
395,18S007,3.4400001,979,651,20,0,15,300,291,31,894,18,144,0,94,40.0,76,656
396,18S008,3.04,1023,579,42,1,643,225,153,16,3989,17,132,2,100,100.0,81,7
397,18S009,3.1400001,1132,622,15,0,17,247,82,21,870,7,135,0,121,40.0,86,450
398,18S010,3.1400001,1165,214,48,0,544,163,209,1,2030,0,107,2,135,80.0,226,2
399,18S011,3.1400001,1165,308,42,0,559,240,181,4,2145,3,103,1,135,77.0,237,5
400,18S012,3.1400001,1165,308,42,0,559,240,181,4,2145,3,103,1,135,77.0,237,5
401,18S013,4.3400002,1212,627,16,0,16,237,86,17,863,9,142,1,115,37.0,94,467
402,18S014,4.2399998,1259,234,48,0,773,243,107,37,2861,5,108,156,161,127.0,71,9
403,18S015,4.2399998,1259,234,48,0,773,243,107,37,2861,5,108,156,161,127.0,71,9
404,18S016,4.8400002,1281,348,27,5,18,242,56,8,3529,2,113,3,447,38.0,54,120
405,18S017,4.8400002,1281,352,23,5,19,243,65,9,3482,3,115,3,478,41.0,57,120
406,18S018,4.8400002,1281,297,54,0,556,279,210,14,2066,24,210,2,141,96.0,233,6
407,18S019,4.8400002,1285,599,27,0,18,271,101,58,870,15,121,1,79,45.0,75,437
408,18S020,4.8400002,1375,500,34,1,13,250,210,27,1040,38,140,4,120,73.0,73,771
409,18S021,4.8400002,1448,383,22,4,13,211,57,9,3513,3,111,3,431,40.0,60,141
410,18S022,3.6400001,1466,597,38,0,7,246,217,81,535,13,132,0,44,133.0,78,526
411,18S023,3.6400001,1466,762,34,0,10,356,122,15,958,15,108,0,84,55.0,47,677
412,18S024,3.4400001,1497,502,51,0,719,235,105,27,2997,9,114,4,96,86.0,69,4
413,18S025,3.24,1533,305,66,0,387,137,55,5,1779,2,101,2,72,69.0,91,4
414,18S026,4.8400002,1536,173,53,0,557,230,202,17,2029,9,106,3,126,69.0,214,3
415,18S027,4.8400002,1533,403,50,0,411,233,110,55,1793,7,100,2,84,44.0,66,2
416,18S028,4.8400002,1537,539,21,0,17,292,162,38,878,6,135,0,141,49.0,86,437
417,18S029,4.54,1570,482,45,0,459,222,121,9,1813,3,133,3,118,100.0,90,6
418,18S030,2.9400001,1567,378,61,0,471,185,186,4,1950,0,104,3,148,79.0,236,7
419,18S031,2.9400001,1567,378,61,0,471,185,186,4,1950,0,104,3,148,79.0,236,7
420,18S032,2.9400001,1567,378,61,0,471,185,186,4,1950,0,104,3,148,79.0,236,7
421,18S033,3.04,1587,284,43,0,538,140,184,4,1978,0,105,2,143,61.0,213,7
422,18S034,2.9400001,1593,728,19,8,9,353,289,37,3912,31,169,4,100,48.0,111,96
423,18S035,2.9400001,1593,673,26,5,13,260,223,61,3931,14,195,3,80,52.0,82,93
424,18S036,3.3399999,1739,784,19,0,11,296,280,64,1116,16,147,0,99,40.0,72,660
425,18S037,3.8399999,1846,579,49,0,274,383,88,41,2166,1,134,3,75,84.0,103,3
426,18S038,3.3399999,1739,727,18,0,14,328,306,52,1067,12,140,0,90,42.0,58,683
427,18S040,2.75,1656,290,42,32,2231,1658,148,86,11403,26,169,2,93,2561.0,7,329
428,18S041,3.3499999,1629,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
429,18S042,3.75,1655,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
430,18S043,3.3499999,1629,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
431,18S045,3.3399999,1597,635,21,4,11,285,247,58,743,15,134,0,82,113.0,106,566
432,18S047,3.04,1587,266,58,0,564,151,193,4,1951,0,104,3,139,62.0,233,5
433,18S048,3.04,1587,266,58,0,564,151,193,4,1951,0,104,3,139,62.0,233,5
434,18S049,3.04,1526,312,47,0,816,295,200,15,3438,33,229,2,127,75.0,90,5
435,18S050,2.24,1513,173,53,0,557,230,202,17,2029,9,106,3,126,69.0,214,3
436,18S051,2.24,1513,173,53,0,557,230,202,17,2029,9,106,3,126,69.0,214,3
437,18S052,2.04,1526,588,50,0,711,404,278,27,3312,19,137,2,169,96.0,105,7
438,18S053,3.25,1550,362,59,31,2245,1679,112,78,11455,21,145,2,135,2458.0,15,377
439,18S054,3.1500001,1535,362,59,31,2245,1679,112,78,11455,21,145,2,135,2458.0,15,377
440,18S055,3.9000001,1528,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
441,18S056,3.9000001,1528,296,55,33,2275,1682,116,26,11510,15,130,9,111,2549.0,8,366
442,18S057,3.9000001,1528,390,52,28,2260,1659,89,47,11505,25,133,2,141,2489.0,15,389
443,18S058,3.8499999,1523,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
