,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
106,18P088,4.2399998,1521,308,49,0,657,205,151,70,2666,10,115,183,118,106.0,84,9
107,18P089,3.6400001,1527,563,21,1,13,266,254,46,912,12,137,0,82,43.0,65,424
108,18P091,2.04,1526,347,40,0,769,334,349,23,3510,27,266,3,77,131.0,110,7
109,18P092,2.04,1526,337,39,0,738,314,326,132,3397,27,159,2,118,66.0,101,4
110,18P093,2.04,1526,294,49,0,699,234,137,16,3374,122,126,3,82,87.0,60,5
111,18P094,2.04,1526,294,49,0,699,234,137,16,3374,122,126,3,82,87.0,60,5
112,18P095,2.04,1526,336,41,0,763,386,426,164,3333,30,191,3,95,93.0,103,4
113,18P096,2.04,1526,336,41,0,763,386,426,164,3333,30,191,3,95,93.0,103,4
114,18P097,2.04,1526,654,43,0,721,449,356,31,3440,23,153,3,196,107.0,124,8
115,18P098,2.04,1526,449,67,0,688,309,115,19,3046,13,103,2,112,73.0,63,4
116,18P099,2.04,1526,449,67,0,688,309,115,19,3046,13,103,2,112,73.0,63,4
117,18P100,2.04,1526,294,49,0,699,234,137,16,3374,122,126,3,82,87.0,60,5
118,18P101,2.04,1526,336,41,0,763,386,426,164,3333,30,191,3,95,93.0,103,4
119,18P102,2.04,1526,336,41,0,763,386,426,164,3333,30,191,3,95,93.0,103,4
120,18P103,3.45,1529,298,64,30,2333,1653,106,9,11651,18,129,3,106,2622.0,10,360
121,18P104,3.8499999,1548,298,64,30,2333,1653,106,9,11651,18,129,3,106,2622.0,10,360
122,18P105,3.45,1527,375,48,29,2303,1670,148,38,11426,17,142,4,122,2422.0,14,394
123,18P106,3.45,1527,375,48,29,2303,1670,148,38,11426,17,142,4,122,2422.0,14,394
124,18P107,3.45,1527,375,48,29,2303,1670,148,38,11426,17,142,4,122,2422.0,14,394
125,18P108,3.4400001,1497,502,51,0,719,235,105,27,2997,9,114,4,96,86.0,69,4
126,18P109,2.4400001,1469,397,41,0,450,244,106,25,1916,5,136,2,90,84.0,79,2
127,18P110,3.3399999,1447,605,27,0,11,320,164,56,918,6,142,0,111,46.0,108,530
128,18P111,4.8400002,1434,573,28,0,25,315,303,69,850,14,155,0,71,38.0,74,452
129,18P113,3.4400001,1399,650,32,1,14,230,300,46,1090,43,210,2,54,100.0,86,714
130,18P115,3.05,1471,343,47,31,2214,1634,118,39,11573,15,131,2,124,2540.0,8,372
131,18P116,3.9000001,1468,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
132,18P117,3.9000001,1468,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
133,18P118,3.75,1463,492,48,30,753,234,111,45,16452,26,123,551,108,3602.0,12,238
134,18P119,3.05,1455,340,51,29,2293,1675,105,14,11516,24,150,3,97,2571.0,9,391
135,18P120,3.25,1455,314,58,30,2219,1714,61,5,11651,4,124,2,106,2535.0,7,371
